ForeignId;ForeignName;ForeignKey;ForeignNameId;ForeignLocation；Star;CCommentCount;CRecommendCommentCount;CNeedToImproveCommentCount;CScore;CPrice;COpenYear;RoomCount;
上海汉庭光大店;莫泰168（上海金沙江路大渡河路地铁站店）;http://hotels.ctrip.com/hotel/dianping/1569555.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/1569555.html;长风公园地区;hotel_halfdiamond02;1321;1253;68;;;2005;220;
格林豪泰上海浦东成山路快捷酒店;汉庭酒店（上海徐家汇漕宝路店）（原光大店）;http://hotels.ctrip.com/hotel/dianping/896852.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/896852.html;光大会展中心;hotel_halfdiamond02;321;304;17;;;2006;86;
上海汉庭万体馆南店;上海瑞昌旅馆;http://hotels.ctrip.com/hotel/dianping/962323.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/962323.html;浦东世博园区;;20;13;7;;;;;
上海汉庭凯旋路店;汉庭酒店（上海万体馆南店）;http://hotels.ctrip.com/hotel/dianping/736448.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/736448.html;八万人体育场地区;hotel_halfdiamond02;423;395;28;;;2010;71;
7天上海虹桥二店;7天连锁酒店（上海虹桥二店）;http://hotels.ctrip.com/hotel/dianping/115312.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/115312.html;漕河泾开发区;hotel_halfdiamond02;76;70;6;;;2009;100;
上外国际文化交流中心;7天连锁酒店（上海虹桥二店）;http://hotels.ctrip.com/hotel/dianping/115312.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/115312.html;漕河泾开发区;hotel_halfdiamond02;76;70;6;;;2009;100;
上海汉庭虹桥吴中路店;;http://hotels.ctrip.com/hotel/dianping/2145275.html#ctm_ref=hod_sr_lst_dl_c_1_1;;;;356;321;35;;;;;
上海锦江之星浦东南路店;汉庭酒店（上海虹桥吴中路新店）;http://hotels.ctrip.com/hotel/dianping/1487282.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/1487282.html;虹桥地区;hotel_halfdiamond02;866;800;66;;;2011;113;
一百假日酒店;锦江之星（上海浦东南路塘桥店）;http://hotels.ctrip.com/hotel/dianping/608450.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/608450.html;浦东陆家嘴金融贸易区;hotel_halfdiamond02;1017;959;58;;;2007;103;
上海川沙和颐酒店;上海新纪元旅馆;http://hotels.ctrip.com/hotel/dianping/1512590.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/1512590.html;佘山、松江大学城;hotel_halfdiamond02;2;1;1;;;;;
新词大酒店;上海川沙和颐酒店;http://hotels.ctrip.com/hotel/dianping/1745304.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/1745304.html;迪士尼度假区;hotel_halfdiamond05;1945;1928;17;;;2015;118;
格林豪泰上海张江商务酒店;上海新词大酒店;http://hotels.ctrip.com/hotel/dianping/1708238.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/1708238.html;南翔、安亭汽车城;hotel_stars03;915;878;37;;;2001;115;
上海如家嘉定城中路店;上海侨园我家酒店式公寓;http://hotels.ctrip.com/hotel/dianping/2381156.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/2381156.html;浦东张江地区;;29;26;3;;;2015;173;
7天上海静安寺店;如家快捷酒店（上海嘉定城中路店）;http://hotels.ctrip.com/hotel/dianping/1569666.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/1569666.html;马陆、嘉定城区;hotel_halfdiamond02;655;632;23;;;2008;129;
利爵商务酒店;7天连锁酒店（上海静安寺店）;http://hotels.ctrip.com/hotel/dianping/2147504.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/2147504.html;南京西路商业区;hotel_halfdiamond02;1104;990;114;;;2013;56;
双拥大厦;上海双拥大厦;http://hotels.ctrip.com/hotel/dianping/480950.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/480950.html;浦东金桥地区;hotel_stars03;322;295;27;;;1996;215;
上海如家宝山吴淞店;上海双拥大厦;http://hotels.ctrip.com/hotel/dianping/480950.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/480950.html;浦东金桥地区;hotel_stars03;322;295;27;;;1996;215;
上海如家复旦店;上海乐妙招待所;http://hotels.ctrip.com/hotel/dianping/923404.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/923404.html;宝钢工业园区;;1;0;1;;;2004;18;
新惠宾馆;;http://hotels.ctrip.com/hotel/dianping/427659.html#ctm_ref=hod_sr_lst_dl_c_1_1;;;;949;859;90;;;;;
上海仁泰睿知精品商务酒店;上海新惠宾馆;http://hotels.ctrip.com/hotel/dianping/438170.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/438170.html;徐家汇地区;hotel_stars03;2841;2731;110;;;1998;126;
上海美兴大酒店;上海仁泰（睿知精品）商务酒店;http://hotels.ctrip.com/hotel/dianping/1707543.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/1707543.html;浦东陆家嘴金融贸易区;hotel_halfdiamond02;1194;1095;99;;;2005;44;
白玉兰上海徐家汇酒店 ;上海美兴大酒店;http://hotels.ctrip.com/hotel/dianping/479890.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/479890.html;上海火车站地区;hotel_halfdiamond02;1302;1151;151;;;2003;141;
绿洲大厦;锦江白玉兰酒店（上海徐家汇店）;http://hotels.ctrip.com/hotel/dianping/481555.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/481555.html;南外滩地区;hotel_halfdiamond03;2120;2025;95;;;2010;109;
宝燕商务酒店;如家快捷酒店（上海中山西路国际体操中心店）;http://hotels.ctrip.com/hotel/dianping/2107570.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/2107570.html;中山公园商业区;hotel_halfdiamond02;393;369;24;;;2014;52;
上海浦江之星徐家汇店;宝燕商务酒店（上海总店）;http://hotels.ctrip.com/hotel/dianping/1700273.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/1700273.html;莘庄工业区;hotel_halfdiamond03;384;353;31;;;2006;150;
上海如家真北店;浦江之星（上海徐家汇店）;http://hotels.ctrip.com/hotel/dianping/2157303.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/2157303.html;衡山路地区;hotel_halfdiamond02;1054;915;139;;;2009;87;
瑞金宾馆太原别墅;上海圣诺亚皇冠假日酒店;http://hotels.ctrip.com/hotel/dianping/826314.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/826314.html;长风公园地区;hotel_diamond05;2632;2583;49;;;棒的酒店，无论是酒店的服务还是设施都很不错，周边环境也不错，交通方便，地铁13号线真北路站出站步行5、6分钟就能抵达酒店。早餐品种也比较多，酒店是2014;313;
上海汉庭虹桥枢纽二店;上海瑞金宾馆太原别墅;http://hotels.ctrip.com/hotel/dianping/1715133.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/1715133.html;衡山路地区;hotel_diamond04;511;491;20;;;2008;23;
